KPI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Ticker,Type
Share Capital,,145,145,289,289,289,289,289,289,289,289,289,BAJAJ-AUTO,Balance_Sheet
Reserves,,1725,2784,4621,5752,7613,9319,10403,12977,16745,18814,21491,BAJAJ-AUTO,Balance_Sheet
Borrowings,,1570,1339,325,125,88,59,112,118,120,121,125,BAJAJ-AUTO,Balance_Sheet
Other Liabilities,,2442,2860,4012,4918,4488,5080,4758,3102,3661,4595,5476,BAJAJ-AUTO,Balance_Sheet
Total Liabilities,,5881,7126,9248,11084,12479,14748,15562,16486,20815,23819,27380,BAJAJ-AUTO,Balance_Sheet
Fixed Assets,,1542,1480,1483,1482,1804,2006,1917,2026,2002,1878,1764,BAJAJ-AUTO,Balance_Sheet
CWIP,,22,42,70,42,294,144,255,52,42,56,48,BAJAJ-AUTO,Balance_Sheet
Investments,,1809,4022,4722,4883,6430,8550,9153,10321,14731,17588,19159,BAJAJ-AUTO,Balance_Sheet
Other Assets,,2509,1584,2973,4678,3950,4048,4237,4088,4039,4296,6409,BAJAJ-AUTO,Balance_Sheet
Total Assets,,5881,7126,9248,11084,12479,14748,15562,16486,20815,23819,27380,BAJAJ-AUTO,Balance_Sheet
Cash from Operating Activity,,413,2737,1614,3193,2134,3546,2147,3657,3339,4261,2490,BAJAJ-AUTO,Cash_Flow
Cash from Investing Activity,,-209,-2164,-623,-682,-1278,-2141,-414,-30,-3687,-1894,-271,BAJAJ-AUTO,Cash_Flow
Cash from Financing Activity,,-123,-609,-862,-1564,-1479,-1468,-1644,-3384,-190,-1885,-2074,BAJAJ-AUTO,Cash_Flow
Net Cash Flow,,81,-35,129,947,-622,-64,89,242,-538,481,144,BAJAJ-AUTO,Cash_Flow
Sales,,1456,1622,2030,2561,2906,3248,3655,3858,4225,4724,5516,BERGEPAINT,Income_Statement
Expenses,,1328,1446,1806,2284,2569,2858,3180,3250,3591,3980,4667,BERGEPAINT,Income_Statement
Operating Profit,,127,176,224,277,336,390,475,608,634,743,849,BERGEPAINT,Income_Statement
OPM %,,9%,11%,11%,11%,12%,12%,13%,16%,15%,16%,15%,BERGEPAINT,Income_Statement
Other Income,,26,24,30,31,31,31,34,36,135,47,39,BERGEPAINT,Income_Statement
Interest,,15,5,12,22,28,34,35,17,8,16,35,BERGEPAINT,Income_Statement
Depreciation,,20,26,30,38,46,58,79,88,98,112,165,BERGEPAINT,Income_Statement
Profit before tax,,117,169,211,248,293,328,396,539,663,662,687,BERGEPAINT,Income_Statement
Tax %,,24%,29%,30%,29%,28%,29%,33%,34%,33%,35%,37%,BERGEPAINT,Income_Statement
Net Profit,,89,120,148,177,210,234,266,356,444,432,436,BERGEPAINT,Income_Statement
EPS in Rs,,0.99,1.24,1.53,1.83,2.16,2.41,2.74,3.67,4.57,4.45,4.49,BERGEPAINT,Income_Statement
Dividend Payout %,,22%,32%,30%,27%,30%,33%,33%,32%,38%,40%,42%,BERGEPAINT,Income_Statement
Share Capital,,64,69,69,69,69,69,69,69,97,97,97,BERGEPAINT,Balance_Sheet
Reserves,,351,557,654,776,915,1063,1223,1523,1816,2047,2258,BERGEPAINT,Balance_Sheet
Borrowings,,78,24,107,170,303,303,288,67,120,143,439,BERGEPAINT,Balance_Sheet
Other Liabilities,,256,327,389,495,551,726,729,853,1055,1218,1240,BERGEPAINT,Balance_Sheet
Total Liabilities,,749,977,1219,1510,1839,2161,2310,2512,3087,3505,4034,BERGEPAINT,Balance_Sheet
Fixed Assets,,162,186,204,272,322,548,648,704,889,915,1206,BERGEPAINT,Balance_Sheet
CWIP,,19,32,77,66,171,132,88,49,56,87,148,BERGEPAINT,Balance_Sheet
Investments,,30,170,118,80,91,187,244,415,578,531,577,BERGEPAINT,Balance_Sheet
Other Assets,,538,590,820,1093,1255,1293,1331,1344,1565,1971,2104,BERGEPAINT,Balance_Sheet
Total Assets,,749,977,1219,1510,1839,2161,2310,2512,3087,3505,4034,BERGEPAINT,Balance_Sheet
Cash from Operating Activity,,99,165,115,120,177,337,385,536,338,399,548,BERGEPAINT,Cash_Flow
Cash from Investing Activity,,-43,-207,-29,-67,-193,-304,-169,-222,-264,-169,-345,BERGEPAINT,Cash_Flow
Cash from Financing Activity,,-64,48,0,1,62,-93,-186,-346,-73,-195,-237,BERGEPAINT,Cash_Flow
Net Cash Flow,,-8,6,85,53,46,-59,31,-33,2,35,-34,BERGEPAINT,Cash_Flow
Sales,,134063,121765,151639,211973,240116,260075,238087,188405,202211,236421,297275,BPCL,Income_Statement
Expenses,,130840,119170,147899,208042,233830,251932,229772,177259,191345,224480,285311,BPCL,Income_Statement
Operating Profit,,3223,2595,3740,3931,6286,8143,8315,11146,10866,11941,11964,BPCL,Income_Statement
OPM %,,2%,2%,2%,2%,3%,3%,3%,6%,5%,5%,4%,BPCL,Income_Statement
Other Income,,1022,2023,1427,1638,1501,1412,2200,1655,2564,2831,2984,BPCL,Income_Statement
Interest,,2166,1011,1117,1800,1825,1359,583,565,496,833,1319,BPCL,Income_Statement
Depreciation,,1076,1242,1655,1885,1926,2247,2516,1845,1891,2653,3189,BPCL,Income_Statement
Profit before tax,,1003,2365,2395,1884,4036,5949,7416,10391,11043,11286,10440,BPCL,Income_Statement
Tax %,,27%,35%,35%,30%,35%,32%,31%,32%,27%,29%,32%,BPCL,Income_Statement
Net Profit,,736,1538,1547,1311,2643,4061,5085,7056,8039,7976,7132,BPCL,Income_Statement
EPS in Rs,,3.39,7.09,7.13,6.04,12.18,18.72,23.44,32.53,37.06,36.77,32.88,BPCL,Income_Statement
Dividend Payout %,,34%,33%,33%,30%,30%,30%,32%,29%,53%,52%,52%,BPCL,Income_Statement
Share Capital,,362,362,362,362,723,723,723,656,1311,1967,1967,BPCL,Balance_Sheet
Reserves,,11767,12725,13696,14552,15911,18736,21744,26667,28881,32621,35228,BPCL,Balance_Sheet
Borrowings,,21171,22195,18960,22994,23839,20322,13098,15857,23159,23351,29099,BPCL,Balance_Sheet
Other Liabilities,,14071,17990,22858,27699,26498,32347,34179,32177,38638,42192,49334,BPCL,Balance_Sheet
Total Liabilities,,47370,53272,55876,65607,66972,72127,69745,75357,91990,100131,115627,BPCL,Balance_Sheet
Fixed Assets,,11966,13669,15999,16612,16690,19040,20315,23207,31437,43028,46488,BPCL,Balance_Sheet
CWIP,,2037,2518,972,1119,2420,3065,7666,12664,11623,4408,7066,BPCL,Balance_Sheet
Investments,,18078,13501,12037,10917,12103,11847,12391,12811,14601,15626,15992,BPCL,Balance_Sheet
Other Assets,,15288,23584,26867,36958,35758,38176,29373,26674,34328,37069,46082,BPCL,Balance_Sheet
Total Assets,,47370,53272,55876,65607,66972,72127,69745,75357,91990,100131,115627,BPCL,Balance_Sheet
Cash from Operating Activity,,6212,-1515,3082,926,5480,8404,18183,10179,7897,9009,7645,BPCL,Cash_Flow
Cash from Investing Activity,,-9909,1538,1750,-891,-2387,-4286,-7909,-7975,-10130,-4741,-7537,BPCL,Cash_Flow
Cash from Financing Activity,,-2285,652,-1817,-4713,-1743,-6244,-9121,-1840,567,-4423,-87,BPCL,Cash_Flow
Net Cash Flow,,-5982,675,3015,-4678,1350,-2126,1153,364,-1666,-155,21,BPCL,Cash_Flow
Sales,,34014,35610,38018,41604,45351,49918,55496,60300,62276,53663,49606,BHARTIARTL,Income_Statement
Expenses,,21023,22062,24677,27960,31880,33827,36065,37887,38351,35798,34994,BHARTIARTL,Income_Statement
Operating Profit,,12991,13548,13340,13644,13471,16092,19431,22413,23925,17864,14612,BHARTIARTL,Income_Statement
OPM %,,38%,38%,35%,33%,30%,32%,35%,37%,38%,33%,29%,BHARTIARTL,Income_Statement
Other Income,,525,377,321,625,1463,853,5193,962,-14977,414,3112,BHARTIARTL,Income_Statement
Interest,,2148,-568,324,1396,1652,1336,1409,3545,5255,5911,7848,BHARTIARTL,Income_Statement
Depreciation,,3206,3794,4612,5916,6827,7231,7560,9575,12203,13049,15120,BHARTIARTL,Income_Statement
Profit before tax,,8162,10699,8726,6956,6455,8377,15655,10254,-8510,-681,-5244,BHARTIARTL,Income_Statement
Tax %,,5%,12%,12%,18%,21%,21%,16%,24%,-17%,112%,64%,BHARTIARTL,Income_Statement
Net Profit,,7744,9426,7717,5730,5096,6600,13200,7780,-9926,79,-1869,BHARTIARTL,Income_Statement
EPS in Rs,,15.89,19.34,15.83,11.76,10.46,12.86,25.73,15.16,-19.34,0.15,-3.64,BHARTIARTL,Income_Statement
Dividend Payout %,,5%,4%,5%,7%,7%,11%,12%,7%,-4%,2695%,-53%,BHARTIARTL,Income_Statement
Share Capital,,1898,1899,1899,1899,1899,1999,1999,1999,1999,1999,1999,BHARTIARTL,Balance_Sheet
Reserves,,25745,34652,42213,47531,52247,64729,76274,109730,99209,100862,96307,BHARTIARTL,Balance_Sheet
Borrowings,,7714,5039,11898,15301,14218,10365,21570,45571,60095,65416,83790,BHARTIARTL,Balance_Sheet
Other Liabilities,,13753,13133,15574,15593,19519,21111,26581,27728,30336,36661,40812,BHARTIARTL,Balance_Sheet
Total Liabilities,,49110,54723,71583,80324,87883,98204,126424,185028,191638,204937,222908,BHARTIARTL,Balance_Sheet
Fixed Assets,,25013,28025,40701,40441,43183,39878,53444,91926,111523,122609,133812,BHARTIARTL,Balance_Sheet
CWIP,,2567,1595,6479,4466,1031,1244,9067,3830,9600,5543,5636,BHARTIARTL,Balance_Sheet
Investments,,11778,15773,11813,12338,28199,34524,43117,69983,45959,48128,37580,BHARTIARTL,Balance_Sheet
Other Assets,,9752,9330,12590,23079,15471,22558,20796,19289,24556,28657,45879,BHARTIARTL,Balance_Sheet
Total Assets,,49110,54723,71583,80324,87883,98204,126424,185028,191638,204937,222908,BHARTIARTL,Balance_Sheet
Cash from Operating Activity,,12390,12693,13293,11438,13885,16022,17940,19450,21166,15954,10812,BHARTIARTL,Cash_Flow
Cash from Investing Activity,,-11431,-10602,-19102,-12612,-10726,-17086,-12801,-21989,-24283,-17211,-20456,BHARTIARTL,Cash_Flow
Cash from Financing Activity,,-672,-2539,5595,1401,-3186,1182,-5196,1898,3456,1637,9398,BHARTIARTL,Cash_Flow
Net Cash Flow,,287,-448,-214,227,-27,118,-57,-641,338,380,-246,BHARTIARTL,Cash_Flow
Sales,,912,1163,1561,1556,1938,2202,2242,2302,2588,2419,1786,BIOCON,Income_Statement
Expenses,,696,868,1010,1222,1533,1729,1813,1880,1996,2101,1575,BIOCON,Income_Statement
Operating Profit,,216,295,552,334,405,473,428,422,592,318,210,BIOCON,Income_Statement
OPM %,,24%,25%,35%,21%,21%,21%,19%,18%,23%,13%,12%,BIOCON,Income_Statement
Other Income,,-22,63,57,67,39,61,129,279,99,125,422,BIOCON,Income_Statement
Interest,,5,2,1,2,1,1,1,2,4,1,3,BIOCON,Income_Statement
Depreciation,,74,80,90,94,95,124,128,140,151,136,92,BIOCON,Income_Statement
Profit before tax,,114,276,517,304,347,409,428,559,536,306,537,BIOCON,Income_Statement
Tax %,,2%,10%,11%,16%,21%,21%,16%,34%,3%,22%,8%,BIOCON,Income_Statement
Net Profit,,112,248,459,256,276,324,361,369,519,238,493,BIOCON,Income_Statement
EPS in Rs,,0.93,2.07,3.83,2.13,2.3,2.7,3.01,3.07,4.33,1.99,4.11,BIOCON,Income_Statement
Dividend Payout %,,54%,28%,20%,39%,54%,31%,28%,27%,12%,25%,12%,BIOCON,Income_Statement
Share Capital,,100,100,100,100,100,100,100,100,100,300,300,BIOCON,Balance_Sheet
Reserves,,1275,1466,1847,1996,2107,2318,2484,5897,6441,6439,6815,BIOCON,Balance_Sheet
Borrowings,,164,192,169,161,131,121,82,370,134,133,71,BIOCON,Balance_Sheet
Other Liabilities,,337,506,488,563,675,679,667,732,794,855,1054,BIOCON,Balance_Sheet
Total Liabilities,,1876,2264,2604,2820,3013,3218,3333,7098,7469,7727,8240,BIOCON,Balance_Sheet
Fixed Assets,,714,678,680,685,851,949,914,894,938,903,1101,BIOCON,Balance_Sheet
CWIP,,38,58,103,82,51,102,58,172,241,318,254,BIOCON,Balance_Sheet
Investments,,347,419,486,657,619,493,165,3853,3888,4199,4093,BIOCON,Balance_Sheet
Other Assets,,777,1109,1335,1396,1492,1674,2196,2179,2402,2307,2792,BIOCON,Balance_Sheet
Total Assets,,1876,2264,2604,2820,3013,3218,3333,7098,7469,7727,8240,BIOCON,Balance_Sheet
Cash from Operating Activity,,116,231,355,162,348,186,125,208,186,355,110,BIOCON,Cash_Flow
Cash from Investing Activity,,-75,-120,-147,-196,-87,51,145,-313,104,-553,315,BIOCON,Cash_Flow
Cash from Financing Activity,,-43,-37,-100,-111,-147,-187,-158,73,-238,-55,-208,BIOCON,Cash_Flow
Net Cash Flow,,-2,73,108,-146,114,50,112,-32,52,-252,217,BIOCON,Cash_Flow
Sales,4588,4791,6656,8166,8659,8757,,12086,9701,10435,11690,12085,BOSCHLTD,Income_Statement
Expenses,3874,4164,5603,6654,7310,7468,,10132,7823,8473,9600,9931,BOSCHLTD,Income_Statement
Operating Profit,713,627,1053,1512,1350,1289,,1953,1878,1963,2090,2154,BOSCHLTD,Income_Statement
OPM %,16%,13%,16%,19%,16%,15%,,16%,19%,19%,18%,18%,BOSCHLTD,Income_Statement
Other Income,454,471,408,320,369,353,,565,623,912,421,600,BOSCHLTD,Income_Statement
Interest,9,1,4,0,6,0,,14,13,27,3,13,BOSCHLTD,Income_Statement
Depreciation,302,304,254,258,367,384,,548,386,456,467,402,BOSCHLTD,Income_Statement
Profit before tax,857,793,1203,1574,1346,1257,,1956,2102,2391,2041,2339,BOSCHLTD,Income_Statement
Tax %,26%,26%,29%,29%,29%,30%,,32%,27%,27%,33%,32%,BOSCHLTD,Income_Statement
Net Profit,634,591,859,1123,958,885,,1338,1531,1741,1371,1598,BOSCHLTD,Income_Statement
EPS in Rs,197.93,188.11,273.55,357.56,305.2,281.76,,426.03,487.72,570.47,449.14,541.81,BOSCHLTD,Income_Statement
Dividend Payout %,13%,16%,15%,38%,20%,20%,,20%,17%,29%,22%,19%,BOSCHLTD,Income_Statement
Share Capital,32,31,31,31,31,31,,31,31,30,30,30,BOSCHLTD,Balance_Sheet
Reserves,3063,3354,4067,4697,5542,6263,,7316,9504,8769,9951,9097,BOSCHLTD,Balance_Sheet
Borrowings,264,284,276,307,230,183,,111,50,0,0,0,BOSCHLTD,Balance_Sheet
Other Liabilities,1193,1320,1863,2096,2098,2414,,2973,2848,3000,3946,3583,BOSCHLTD,Balance_Sheet
Total Liabilities,4553,4990,6238,7131,7902,8891,,10431,12433,11800,13927,12710,BOSCHLTD,Balance_Sheet
Fixed Assets,609,513,436,592,863,938,,968,1149,1514,1318,1176,BOSCHLTD,Balance_Sheet
CWIP,167,100,224,321,408,440,,276,151,129,313,644,BOSCHLTD,Balance_Sheet
Investments,867,1418,1607,1635,1529,2202,,2890,4628,3927,5240,4054,BOSCHLTD,Balance_Sheet
Other Assets,2910,2959,3970,4584,5102,5311,,6298,6505,6231,7056,6836,BOSCHLTD,Balance_Sheet
Total Assets,4553,4990,6238,7131,7902,8891,,10431,12433,11800,13927,12710,BOSCHLTD,Balance_Sheet
Cash from Operating Activity,483,897,886,445,871,1057,,1396,1318,1457,1729,593,BOSCHLTD,Cash_Flow
Cash from Investing Activity,-3,-632,-506,197,-824,-846,,-1183,-995,1246,-1170,1766,BOSCHLTD,Cash_Flow
Cash from Financing Activity,-96,-268,-121,-426,-156,-238,,-237,-356,-2670,-325,-2531,BOSCHLTD,Cash_Flow
Net Cash Flow,385,-3,258,216,-108,-27,,-24,-33,33,234,-172,BOSCHLTD,Cash_Flow
Sales,,3112,3403,4224,4974,5615,6307,7176,7732,8414,9304,10482,BRITANNIA,Income_Statement
Expenses,,2902,3253,3992,4695,5244,5724,6422,6608,7209,7894,8820,BRITANNIA,Income_Statement
Operating Profit,,210,150,231,279,372,584,754,1124,1206,1410,1662,BRITANNIA,Income_Statement
OPM %,,7%,4%,5%,6%,7%,9%,10%,15%,14%,15%,16%,BRITANNIA,Income_Statement
Other Income,,71,16,49,59,55,28,247,115,143,156,191,BRITANNIA,Income_Statement
Interest,,16,8,38,38,38,5,1,1,1,1,2,BRITANNIA,Income_Statement
Depreciation,,33,38,45,47,57,63,117,88,96,120,135,BRITANNIA,Income_Statement
Profit before tax,,232,121,198,252,332,543,883,1149,1251,1445,1716,BRITANNIA,Income_Statement
Tax %,,22%,3%,27%,26%,30%,32%,29%,34%,33%,34%,35%,BRITANNIA,Income_Statement
Net Profit,,180,117,145,187,234,370,622,763,844,948,1122,BRITANNIA,Income_Statement
EPS in Rs,,3.77,2.44,6.08,7.82,9.78,15.42,25.94,31.8,35.15,39.48,46.7,BRITANNIA,Income_Statement
Dividend Payout %,,53%,51%,53%,54%,43%,39%,31%,31%,31%,32%,32%,BRITANNIA,Income_Statement
Share Capital,,24,24,24,24,24,24,24,24,24,24,24,BRITANNIA,Balance_Sheet
Reserves,,801,372,427,496,617,834,1215,1992,2558,3211,4015,BRITANNIA,Balance_Sheet
Borrowings,,25,430,431,434,215,0,1,1,1,10,1,BRITANNIA,Balance_Sheet
Other Liabilities,,423,502,600,718,826,986,1222,1083,1114,1383,1613,BRITANNIA,Balance_Sheet
Total Liabilities,,1273,1328,1482,1672,1683,1844,2462,3100,3696,4627,5653,BRITANNIA,Balance_Sheet
Fixed Assets,,278,282,304,379,452,546,526,642,839,1031,1328,BRITANNIA,Balance_Sheet
CWIP,,6,10,12,80,128,97,48,74,30,200,65,BRITANNIA,Balance_Sheet
Investments,,423,491,545,429,280,373,661,921,600,1186,1646,BRITANNIA,Balance_Sheet
Other Assets,,566,545,622,785,823,829,1227,1462,2227,2210,2615,BRITANNIA,Balance_Sheet
Total Assets,,1273,1328,1482,1672,1683,1844,2462,3100,3696,4627,5653,BRITANNIA,Balance_Sheet
Cash from Operating Activity,,247,235,246,211,272,615,515,878,402,1183,1114,BRITANNIA,Cash_Flow
Cash from Investing Activity,,12,-110,-156,-52,54,-227,-384,-659,-115,-823,-831,BRITANNIA,Cash_Flow
Cash from Financing Activity,,-146,-184,-107,-129,-359,-325,-168,-228,-284,-304,-326,BRITANNIA,Cash_Flow
Net Cash Flow,,113,-58,-17,31,-33,62,-37,-9,3,56,-44,BRITANNIA,Cash_Flow
Sales,,1698,1833,2920,3151,3527,4042,5284,7032,3231,5810,6037,CADILAHC,Income_Statement
Expenses,,1534,1799,2211,2483,2820,3233,3750,4454,2909,4164,4408,CADILAHC,Income_Statement
Operating Profit,,164,34,709,668,707,809,1534,2578,322,1646,1630,CADILAHC,Income_Statement
OPM %,,10%,2%,24%,21%,20%,20%,29%,37%,10%,28%,27%,CADILAHC,Income_Statement
Other Income,,303,620,57,237,52,307,185,174,582,208,605,CADILAHC,Income_Statement
Interest,,88,43,32,126,111,42,43,26,11,64,90,CADILAHC,Income_Statement
Depreciation,,83,90,97,108,117,127,212,221,251,293,358,CADILAHC,Income_Statement
Profit before tax,,296,520,637,670,531,946,1465,2504,642,1497,1787,CADILAHC,Income_Statement
Tax %,,10%,3%,4%,2%,6%,4%,13%,19%,-3%,27%,17%,CADILAHC,Income_Statement
Net Profit,,266,503,610,658,499,904,1271,2038,662,1091,1486,CADILAHC,Income_Statement
EPS in Rs,,2.6,4.92,5.96,6.42,4.87,8.83,12.42,19.9,6.47,10.66,14.51,CADILAHC,Income_Statement
Dividend Payout %,,23%,14%,21%,23%,31%,20%,19%,16%,50%,33%,24%,CADILAHC,Income_Statement
Share Capital,,68,68,102,102,102,102,102,102,102,102,102,CADILAHC,Balance_Sheet
Reserves,,1165,1554,1988,2455,2809,3528,4423,6174,6516,7643,8467,CADILAHC,Balance_Sheet
Borrowings,,820,594,564,1284,1786,1586,1450,1223,2940,2872,3583,CADILAHC,Balance_Sheet
Other Liabilities,,525,655,808,912,855,1027,1362,1424,1489,1546,1519,CADILAHC,Balance_Sheet
Total Liabilities,,2577,2871,3462,4754,5552,6243,7337,8923,11047,12164,13671,CADILAHC,Balance_Sheet
Fixed Assets,,837,950,1037,1218,1497,1564,1768,2155,2352,2680,3932,CADILAHC,Balance_Sheet
CWIP,,117,143,234,312,464,531,367,297,678,659,675,CADILAHC,Balance_Sheet
Investments,,595,599,699,1212,1280,1558,2209,2318,3924,3618,4195,CADILAHC,Balance_Sheet
Other Assets,,1028,1179,1493,2012,2311,2591,2993,4154,4093,5206,4868,CADILAHC,Balance_Sheet
Total Assets,,2577,2871,3462,4754,5552,6243,7337,8923,11047,12164,13671,CADILAHC,Balance_Sheet
Cash from Operating Activity,,268,586,560,372,445,878,1084,1954,867,288,581,CADILAHC,Cash_Flow
Cash from Investing Activity,,-267,-249,-368,-817,-709,-408,-577,-1016,-2480,28,-713,CADILAHC,Cash_Flow
Cash from Financing Activity,,6,-335,-178,522,250,-446,-387,-923,1366,-149,65,CADILAHC,Cash_Flow
Net Cash Flow,,7,3,14,76,-14,25,120,14,-247,167,-67,CADILAHC,Cash_Flow
Sales,,4961,5360,6331,6978,8202,9457,10132,12118,10768,11390,12374,CIPLA,Income_Statement
Expenses,,4207,4290,5006,5359,6071,7467,8170,10064,9172,9272,9872,CIPLA,Income_Statement
Operating Profit,,754,1070,1325,1618,2132,1990,1961,2053,1596,2118,2502,CIPLA,Income_Statement
OPM %,,15%,20%,21%,23%,26%,21%,19%,17%,15%,19%,20%,CIPLA,Income_Statement
Other Income,,352,449,87,112,216,280,148,280,130,335,578,CIPLA,Income_Statement
Interest,,52,28,13,27,33,128,136,147,39,12,17,CIPLA,Income_Statement
Depreciation,,152,165,248,282,303,324,433,443,500,530,570,CIPLA,Income_Statement
Profit before tax,,901,1325,1151,1421,2012,1818,1540,1744,1187,1911,2493,CIPLA,Income_Statement
Tax %,,14%,18%,17%,21%,25%,24%,23%,16%,18%,23%,24%,CIPLA,Income_Statement
Net Profit,,777,1081,960,1124,1507,1388,1181,1462,975,1469,1888,CIPLA,Income_Statement
EPS in Rs,,9.99,13.47,11.96,14,18.77,17.29,14.71,18.2,12.12,18.24,23.44,CIPLA,Income_Statement
Dividend Payout %,,20%,15%,23%,14%,11%,12%,14%,11%,16%,16%,13%,CIPLA,Income_Statement
Share Capital,,155,161,161,161,161,161,161,161,161,161,161,CIPLA,Balance_Sheet
Reserves,,4195,5754,6452,7390,8709,9931,10930,11825,12640,13952,15621,CIPLA,Balance_Sheet
Borrowings,,940,5,441,13,966,877,1381,1132,324,174,0,CIPLA,Balance_Sheet
Other Liabilities,,1374,1394,1393,1430,1658,1955,2721,2121,2482,2807,2637,CIPLA,Balance_Sheet
Total Liabilities,,6665,7313,8448,8993,11493,12924,15192,15239,15607,17095,18419,CIPLA,Balance_Sheet
Fixed Assets,,1992,2011,2868,3003,3418,3524,3594,3826,4236,4320,4189,CIPLA,Balance_Sheet
CWIP,,366,684,253,343,350,377,361,551,556,463,297,CIPLA,Balance_Sheet
Investments,,81,265,571,1035,2602,3587,4421,4256,4286,4637,5815,CIPLA,Balance_Sheet
Other Assets,,4225,4352,4756,4612,5123,5436,6816,6606,6530,7675,8117,CIPLA,Balance_Sheet
Total Assets,,6665,7313,8448,8993,11493,12924,15192,15239,15607,17095,18419,CIPLA,Balance_Sheet
Cash from Operating Activity,,376,1042,987,1645,1381,1812,1051,1728,2207,1117,1468,CIPLA,Cash_Flow
Cash from Investing Activity,,-581,-562,-1136,-1047,-2064,-1467,-1194,-1206,-1192,-593,-1148,CIPLA,Cash_Flow
Cash from Financing Activity,,179,-472,172,-627,733,-404,180,-547,-1011,-351,-473,CIPLA,Cash_Flow
Net Cash Flow,,-26,8,23,-29,50,-59,37,-25,5,173,-153,CIPLA,Cash_Flow
Sales,,305,426,450,452,352,317,387,204,290,928,934,COALINDIA,Income_Statement
Expenses,,462,485,589,581,722,719,627,672,903,871,876,COALINDIA,Income_Statement
Operating Profit,,-157,-59,-139,-129,-369,-401,-240,-468,-613,57,58,COALINDIA,Income_Statement
OPM %,,-51%,-14%,-31%,-29%,-105%,-126%,-62%,-230%,-211%,6%,6%,COALINDIA,Income_Statement
Other Income,,4294,4196,5072,9115,11088,16087,14143,17129,15005,9293,10549,COALINDIA,Income_Statement
Interest,,474,258,204,379,376,259,244,-124,-136,17,18,COALINDIA,Income_Statement
Depreciation,,6,9,6,7,5,6,7,16,18,18,26,COALINDIA,Income_Statement
Profit before tax,,3658,3870,4723,8600,10338,15420,13652,16768,14510,9315,10562,COALINDIA,Income_Statement
Tax %,,10%,2%,1%,6%,5%,3%,2%,1%,0%,0%,1%,COALINDIA,Income_Statement
Net Profit,,3295,3780,4696,8065,9794,15009,13383,16593,14499,9293,10470,COALINDIA,Income_Statement
EPS in Rs,,5.22,5.98,7.43,12.77,15.51,23.76,21.19,26.27,23.36,14.97,16.99,COALINDIA,Income_Statement
Dividend Payout %,,52%,58%,52%,78%,90%,122%,98%,104%,85%,110%,77%,COALINDIA,Income_Statement
Share Capital,,6316,6316,6316,6316,6316,6316,6316,6316,6207,6207,6163,COALINDIA,Balance_Sheet
Reserves,,7697,9267,11500,13248,14200,10129,10418,9729,7710,6487,7835,COALINDIA,Balance_Sheet
Borrowings,,1787,1464,6743,1146,1136,0,0,0,0,0,0,COALINDIA,Balance_Sheet
Other Liabilities,,6456,6923,3119,10003,12386,7043,5417,5334,4969,5770,5061,COALINDIA,Balance_Sheet
Total Liabilities,,22256,23970,27678,30714,34038,23489,22151,21380,18886,18465,19058,COALINDIA,Balance_Sheet
Fixed Assets,,95,93,99,101,97,96,89,333,321,317,301,COALINDIA,Balance_Sheet
CWIP,,2,14,56,73,122,204,238,13,14,119,181,COALINDIA,Balance_Sheet
Investments,,6316,6317,6319,6541,9026,9649,11772,11729,11589,12358,12538,COALINDIA,Balance_Sheet
Other Assets,,15843,17546,21204,23998,24794,13540,10052,9305,6962,5671,6038,COALINDIA,Balance_Sheet
Total Assets,,22256,23970,27678,30714,34038,23489,22151,21380,18886,18465,19058,COALINDIA,Balance_Sheet
Cash from Operating Activity,,1746,2294,121,9288,10543,13620,12605,-783,-744,302,-933,COALINDIA,Cash_Flow
Cash from Investing Activity,,-272,-274,483,-2984,-3354,8875,258,18340,18867,8207,9623,COALINDIA,Cash_Flow
Cash from Financing Activity,,-1427,-1942,-2452,-6475,-6711,-23101,-12942,-17381,-17674,-9085,-8781,COALINDIA,Cash_Flow
Net Cash Flow,,46,78,-1848,-170,478,-605,-79,177,449,-575,-91,COALINDIA,Cash_Flow
Sales,,3371,3654,3809,4024,4355,4825,5496,5922,5606,6157,6882,CONCOR,Income_Statement
Expenses,,2440,2692,2801,3000,3307,3798,4187,4583,4359,4681,5102,CONCOR,Income_Statement
